agency_id,facility,lat,lon,cat_num,target,category
1,"American Indian Health Service of Chicago, Inc.",41.956676,-87.651879,5,127,Other Health Providers
2,Hamdard Center for Health and Human Services,41.997852,-87.669535,5,190,Other Health Providers
3,Infant Welfare Society of Chicago,41.924904,-87.71727,5,137,Other Health Providers
4,Mercy Family - Henry Booth House Family Health Center,41.841694,-87.62479,5,159,Other Health Providers
6,Cook County - Dr. Jorge Prieto Health Center,41.847143,-87.724975,5,166,Other Health Providers
8,Cook County - Fantus Health Center,41.873588,-87.674275,5,192,Other Health Providers
9,Cook County - John Sengstacke Health Center,41.802489,-87.613566,5,112,Other Health Providers
10,Cook County - Logan Square Health Center,41.92504,-87.699098,5,147,Other Health Providers
11,Cook County - Near South Health Center,41.830201,-87.622892,5,186,Other Health Providers
12,Cook County - Woodlawn Health Center,41.779715,-87.595908,5,165,Other Health Providers
14,ACCESS Anixter Center,41.91837,-87.660281,1,101,Federally Qualified Health Centers
15,ACCESS Ashland Family Health Center,41.799866,-87.664423,1,111,Federally Qualified Health Centers
16,ACCESS Auburn-Gresham Family Health Center,41.743801,-87.66366,1,141,Federally Qualified Health Centers
17,ACCESS Booker Family Health Center,41.809687,-87.609315,1,157,Federally Qualified Health Centers
18,ACCESS Brandon Family Health Center,41.744558,-87.547039,1,168,Federally Qualified Health Centers
19,ACCESS Cabrini Family Health Center,41.831274,-87.67658,1,200,Federally Qualified Health Centers
20,ACCESS Centro Medico,41.844509,-87.717409,1,103,Federally Qualified Health Centers
21,ACCESS Centro Medico San Rafael,41.84452,-87.705305,1,166,Federally Qualified Health Centers
22,ACCESS Doctors Medical Center,41.792648,-87.77863,1,121,Federally Qualified Health Centers
23,ACCESS Evanston-Rogers Park Family Health Center,42.0191,-87.670241,1,121,Federally Qualified Health Centers
24,ACCESS Grand Boulevard Family Health Center,41.795037,-87.628919,1,120,Federally Qualified Health Centers
25,ACCESS Holy Cross,41.769456,-87.692394,1,101,Federally Qualified Health Centers
26,ACCESS Humboldt Park Family Health Center,41.910343,-87.707168,1,148,Federally Qualified Health Centers
27,ACCESS Illinois Eye Institute,41.835265,-87.622279,1,199,Federally Qualified Health Centers
28,ACCESS Kedzie Family Health Center,41.806797,-87.704751,1,128,Federally Qualified Health Centers
29,ACCESS Madison Family Health Center,41.881004,-87.721141,1,102,Federally Qualified Health Centers
30,ACCESS Pilsen Family Health Center,41.857327,-87.660929,1,120,Federally Qualified Health Centers
31,ACCESS Plaza Family Health Center,41.851052,-87.688655,1,148,Federally Qualified Health Centers
32,ACCESS Servicios Medicos La Villita,41.843841,-87.707842,1,143,Federally Qualified Health Centers
33,ACCESS Sinai,41.862057,-87.692823,1,139,Federally Qualified Health Centers
34,ACCESS Southwest Family Health Center,41.80734,-87.744745,1,139,Federally Qualified Health Centers
35,ACCESS St. Francis Health Center,42.017697,-87.676006,1,157,Federally Qualified Health Centers
36,ACCESS Warren Family Health Center,41.881829,-87.686817,1,150,Federally Qualified Health Centers
37,ACCESS Westside Family Health Center,41.859117,-87.719731,1,136,Federally Qualified Health Centers
39,Alivio Medical Center - Western,41.849106,-87.685155,1,137,Federally Qualified Health Centers
40,Asian Human Services Family Health Center,41.990766,-87.690463,1,116,Federally Qualified Health Centers
41,Aunt Martha's Roseland Community Health Center,41.685523,-87.617655,1,117,Federally Qualified Health Centers
42,Aunt Martha's Southeast Side Community Health Center,41.681905,-87.537377,1,179,Federally Qualified Health Centers
43,Beloved Community Family Wellness Center,41.769965,-87.644168,1,108,Federally Qualified Health Centers
44,Chicago Family Health Center - Chicago Lawn,41.778554,-87.703911,1,105,Federally Qualified Health Centers
45,Chicago Family Health Center - East Side,41.703503,-87.535584,1,180,Federally Qualified Health Centers
46,Chicago Family Health Center - Roseland,41.692799,-87.626806,1,164,Federally Qualified Health Centers
47,Chicago Family Health Center- Pullman,41.685701,-87.608738,1,111,Federally Qualified Health Centers
48,Chicago Family Health Center- South Chicago,41.729449,-87.552144,1,133,Federally Qualified Health Centers
49,Christian Community Health Center,41.716847,-87.643408,1,174,Federally Qualified Health Centers
50,"Christian Community Health Center - Calumet City, IL",41.626665,-87.559522,1,160,Federally Qualified Health Centers
