ID,target,category,lat,lon,lower_areal_unit,serv_pop,coverage
1,127000,Other Health Providers,41.956676,-87.651879,3,113180,1.1221063792189432
2,190000,Other Health Providers,41.997852,-87.669535,77,105871,1.794636869397663
3,137000,Other Health Providers,41.924904,-87.71727,22,106064,1.291672952179816
4,159000,Other Health Providers,41.841694,-87.62479,35,76804,2.0702046768397477
6,166000,Other Health Providers,41.847143,-87.724975,30,99714,1.6647612170808512
8,192000,Other Health Providers,41.873588,-87.674275,28,78107,2.4581663615296963
9,112000,Other Health Providers,41.802489,-87.613566,38,90154,1.2423186991148478
10,147000,Other Health Providers,41.92504,-87.699098,22,102162,1.4388911728431315
11,186000,Other Health Providers,41.830201,-87.622892,35,80348,2.314930054263952
12,165000,Other Health Providers,41.779715,-87.595908,42,44509,3.707115414859916
14,101000,Federally Qualified Health Centers,41.91837,-87.660281,7,110148,0.9169481061844065
15,111000,Federally Qualified Health Centers,41.799866,-87.664423,61,41644,2.6654500048026124
16,141000,Federally Qualified Health Centers,41.743801,-87.66366,71,51802,2.721902629242114
17,157000,Federally Qualified Health Centers,41.809687,-87.609315,38,73696,2.1303734259661313
18,168000,Federally Qualified Health Centers,41.744558,-87.547039,46,26659,6.301811770884129
19,200000,Federally Qualified Health Centers,41.831274,-87.67658,59,61895,3.2312787785766215
20,103000,Federally Qualified Health Centers,41.844509,-87.717409,30,96265,1.0699631226302395
21,166000,Federally Qualified Health Centers,41.84452,-87.705305,30,99594,1.6667670743217462
22,121000,Federally Qualified Health Centers,41.792648,-87.77863,56,40540,2.9847064627528366
23,121000,Federally Qualified Health Centers,42.0191,-87.670241,1,60988,1.9839968518397062
24,120000,Federally Qualified Health Centers,41.795037,-87.628919,37,56521,2.123104686753596
25,101000,Federally Qualified Health Centers,41.769456,-87.692394,66,55997,1.803668053645731
26,148000,Federally Qualified Health Centers,41.910343,-87.707168,23,98139,1.508065091350024
27,199000,Federally Qualified Health Centers,41.835265,-87.622279,35,80835,2.4618049112389437
28,128000,Federally Qualified Health Centers,41.806797,-87.704751,58,76721,1.6683828417252122
29,102000,Federally Qualified Health Centers,41.881004,-87.721141,26,79690,1.2799598443970386
30,120000,Federally Qualified Health Centers,41.857327,-87.660929,31,63599,1.8868221198446515
31,148000,Federally Qualified Health Centers,41.851052,-87.688655,30,72398,2.044255366170336
32,143000,Federally Qualified Health Centers,41.843841,-87.707842,30,105758,1.3521435730630307
33,139000,Federally Qualified Health Centers,41.862057,-87.692823,29,100464,1.383580187928014
34,139000,Federally Qualified Health Centers,41.80734,-87.744745,56,29005,4.792277193587313
35,157000,Federally Qualified Health Centers,42.017697,-87.676006,1,67164,2.3375617890536597
36,150000,Federally Qualified Health Centers,41.881829,-87.686817,28,65761,2.2809872112650353
37,136000,Federally Qualified Health Centers,41.859117,-87.719731,29,90989,1.4946861708558177
39,137000,Federally Qualified Health Centers,41.849106,-87.685155,31,71824,1.9074404098908442
40,116000,Federally Qualified Health Centers,41.990766,-87.690463,2,99790,1.1624411263653673
41,117000,Federally Qualified Health Centers,41.685523,-87.617655,49,33784,3.4631778356618517
42,179000,Federally Qualified Health Centers,41.681905,-87.537377,55,30040,5.958721704394141
43,108000,Federally Qualified Health Centers,41.769965,-87.644168,68,61056,1.7688679245283019
44,105000,Federally Qualified Health Centers,41.778554,-87.703911,66,72479,1.4486954842092192
45,180000,Federally Qualified Health Centers,41.703503,-87.535584,52,30040,5.9920106524633825
46,164000,Federally Qualified Health Centers,41.692799,-87.626806,49,42788,3.832850331868748
47,111000,Federally Qualified Health Centers,41.685701,-87.608738,50,17805,6.234203875315923
48,133000,Federally Qualified Health Centers,41.729449,-87.552144,46,0,
49,174000,Federally Qualified Health Centers,41.716847,-87.643408,73,44826,3.8816758131441573
50,160000,Federally Qualified Health Centers,41.626665,-87.559522,0,0,
51,175000,Federally Qualified Health Centers,41.622131,-87.59516,0,0,
52,108000,Federally Qualified Health Centers,41.882799,-87.766111,25,49348,2.1885385425954444
53,162000,Federally Qualified Health Centers,41.903251,-87.68778,24,103798,1.560723713366346
54,121000,Federally Qualified Health Centers,41.976245,-87.698641,4,82378,1.4688387676321348
55,155000,Federally Qualified Health Centers,41.975021,-87.698859,4,84944,1.8247315878696553
