ID,Facility,lat,lon,Type,capacity,category,community
1,"American Indian Health Service of Chicago, Inc.",41.956676,-87.651879,5,127000,Other Health Providers,3
2,Hamdard Center for Health and Human Services,41.997852,-87.669535,5,190000,Other Health Providers,77
3,Infant Welfare Society of Chicago,41.924904,-87.71727,5,137000,Other Health Providers,22
4,Mercy Family - Henry Booth House Family Health Center,41.841694,-87.62479,5,159000,Other Health Providers,35
6,Cook County - Dr. Jorge Prieto Health Center,41.847143,-87.724975,5,166000,Other Health Providers,30
8,Cook County - Fantus Health Center,41.873588,-87.674275,5,192000,Other Health Providers,28
9,Cook County - John Sengstacke Health Center,41.802489,-87.613566,5,112000,Other Health Providers,38
10,Cook County - Logan Square Health Center,41.92504,-87.699098,5,147000,Other Health Providers,22
11,Cook County - Near South Health Center,41.830201,-87.622892,5,186000,Other Health Providers,35
12,Cook County - Woodlawn Health Center,41.779715,-87.595908,5,165000,Other Health Providers,42
14,ACCESS Anixter Center,41.91837,-87.660281,1,101000,Federally Qualified Health Centers,7
15,ACCESS Ashland Family Health Center,41.799866,-87.664423,1,111000,Federally Qualified Health Centers,61
16,ACCESS Auburn-Gresham Family Health Center,41.743801,-87.66366,1,141000,Federally Qualified Health Centers,71
17,ACCESS Booker Family Health Center,41.809687,-87.609315,1,157000,Federally Qualified Health Centers,38
18,ACCESS Brandon Family Health Center,41.744558,-87.547039,1,168000,Federally Qualified Health Centers,46
19,ACCESS Cabrini Family Health Center,41.831274,-87.67658,1,200000,Federally Qualified Health Centers,59
20,ACCESS Centro Medico,41.844509,-87.717409,1,103000,Federally Qualified Health Centers,30
21,ACCESS Centro Medico San Rafael,41.84452,-87.705305,1,166000,Federally Qualified Health Centers,30
22,ACCESS Doctors Medical Center,41.792648,-87.77863,1,121000,Federally Qualified Health Centers,56
23,ACCESS Evanston-Rogers Park Family Health Center,42.0191,-87.670241,1,121000,Federally Qualified Health Centers,1
24,ACCESS Grand Boulevard Family Health Center,41.795037,-87.628919,1,120000,Federally Qualified Health Centers,37
25,ACCESS Holy Cross,41.769456,-87.692394,1,101000,Federally Qualified Health Centers,66
26,ACCESS Humboldt Park Family Health Center,41.910343,-87.707168,1,148000,Federally Qualified Health Centers,23
27,ACCESS Illinois Eye Institute,41.835265,-87.622279,1,199000,Federally Qualified Health Centers,35
28,ACCESS Kedzie Family Health Center,41.806797,-87.704751,1,128000,Federally Qualified Health Centers,58
29,ACCESS Madison Family Health Center,41.881004,-87.721141,1,102000,Federally Qualified Health Centers,26
30,ACCESS Pilsen Family Health Center,41.857327,-87.660929,1,120000,Federally Qualified Health Centers,31
31,ACCESS Plaza Family Health Center,41.851052,-87.688655,1,148000,Federally Qualified Health Centers,30
32,ACCESS Servicios Medicos La Villita,41.843841,-87.707842,1,143000,Federally Qualified Health Centers,30
33,ACCESS Sinai,41.862057,-87.692823,1,139000,Federally Qualified Health Centers,29
34,ACCESS Southwest Family Health Center,41.80734,-87.744745,1,139000,Federally Qualified Health Centers,56
35,ACCESS St. Francis Health Center,42.017697,-87.676006,1,157000,Federally Qualified Health Centers,1
36,ACCESS Warren Family Health Center,41.881829,-87.686817,1,150000,Federally Qualified Health Centers,28
37,ACCESS Westside Family Health Center,41.859117,-87.719731,1,136000,Federally Qualified Health Centers,29
39,Alivio Medical Center - Western,41.849106,-87.685155,1,137000,Federally Qualified Health Centers,31
40,Asian Human Services Family Health Center,41.990766,-87.690463,1,116000,Federally Qualified Health Centers,2
41,Aunt Martha's Roseland Community Health Center,41.685523,-87.617655,1,117000,Federally Qualified Health Centers,49
42,Aunt Martha's Southeast Side Community Health Center,41.681905,-87.537377,1,179000,Federally Qualified Health Centers,55
43,Beloved Community Family Wellness Center,41.769965,-87.644168,1,108000,Federally Qualified Health Centers,68
44,Chicago Family Health Center - Chicago Lawn,41.778554,-87.703911,1,105000,Federally Qualified Health Centers,66
45,Chicago Family Health Center - East Side,41.703503,-87.535584,1,180000,Federally Qualified Health Centers,52
46,Chicago Family Health Center - Roseland,41.692799,-87.626806,1,164000,Federally Qualified Health Centers,49
47,Chicago Family Health Center- Pullman,41.685701,-87.608738,1,111000,Federally Qualified Health Centers,50
48,Chicago Family Health Center- South Chicago,41.729449,-87.552144,1,133000,Federally Qualified Health Centers,46
49,Christian Community Health Center,41.716847,-87.643408,1,174000,Federally Qualified Health Centers,73
50,"Christian Community Health Center - Calumet City, IL",41.626665,-87.559522,1,160000,Federally Qualified Health Centers,0
51,"Christian Community Health Center - South Holland, IL",41.622131,-87.59516,1,175000,Federally Qualified Health Centers,0
52,Circle Family Health Care Network - Parkside,41.882799,-87.766111,1,108000,Federally Qualified Health Centers,25
53,Erie Family Health Center - Division St.,41.903251,-87.68778,1,162000,Federally Qualified Health Centers,24
54,Erie Family Health Center - Foster,41.976245,-87.698641,1,121000,Federally Qualified Health Centers,4
55,Erie Family Health Center - Teen Health Center,41.975021,-87.698859,1,155000,Federally Qualified Health Centers,4
56,Erie Family Health Center - West Town,41.894863,-87.670096,1,132000,Federally Qualified Health Centers,24
57,Erie Family Health Center -- Helping Hands,41.967949,-87.708311,1,171000,Federally Qualified Health Centers,14
58,Erie Family Health Center -- Humboldt Park,41.910472,-87.696495,1,129000,Federally Qualified Health Centers,24
59,Esperanza - Little Village,41.844079,-87.701908,1,137000,Federally Qualified Health Centers,30
60,Friend Family Health Center,41.795664,-87.605373,1,151000,Federally Qualified Health Centers,41
61,Friend Family Health Center - Ashland,41.806512,-87.665293,1,114000,Federally Qualified Health Centers,61
62,Friend Family Health Center-Pulaski,41.790204,-87.72276,1,143000,Federally Qualified Health Centers,62
63,Friend Family Health Center-Western,41.78713,-87.683334,1,103000,Federally Qualified Health Centers,63
64,Heartland Health Center - Devon,41.998256,-87.66317,1,128000,Federally Qualified Health Centers,1
65,Heartland Health Centers - Lincoln Square,41.968395,-87.695984,1,107000,Federally Qualified Health Centers,4
66,Heartland Health Centers - Rogers Park,42.012446,-87.68642,1,130000,Federally Qualified Health Centers,2
67,Heartland Health Centers - Trilogy,42.010581,-87.666528,1,145000,Federally Qualified Health Centers,1
68,Heartland Health Centers - Wilson,41.965298,-87.65208,1,151000,Federally Qualified Health Centers,3
69,Heartland Health Centers-C4 Clark Street,41.968317,-87.667744,1,174000,Federally Qualified Health Centers,3
70,Heartland Health Outreach - Uptown,41.969068,-87.655506,1,200000,Federally Qualified Health Centers,3
71,Heartland Pediatric Center - Lakeview,41.937738,-87.653069,1,100000,Federally Qualified Health Centers,6
72,Lawndale Christian Health Center - Archer,41.800765,-87.730393,1,106000,Federally Qualified Health Centers,57
73,Lawndale Christian Health Center - Homan,41.869207,-87.713937,1,167000,Federally Qualified Health Centers,29
74,Lawndale Christian Health Center - Ogden,41.852495,-87.721969,1,114000,Federally Qualified Health Centers,29
75,Near North - Cottage View Health Center,41.806731,-87.606107,1,191000,Federally Qualified Health Centers,39
76,Near North - Denny Community Health Center,41.896854,-87.629397,1,114000,Federally Qualified Health Centers,8
77,Near North - Flannery Health Center,41.909566,-87.646593,1,191000,Federally Qualified Health Centers,8
78,Near North - Komed Holman Health Center,41.817129,-87.600185,1,161000,Federally Qualified Health Centers,36
79,Near North - Louise Landau Health Center,41.895847,-87.707437,1,126000,Federally Qualified Health Centers,23
80,Near North - Uptown Community Health Center,41.970874,-87.658918,1,109000,Federally Qualified Health Centers,3
83,PCC Austin Family Health Center,41.887089,-87.761476,1,119000,Federally Qualified Health Centers,25
84,PCC Clinic at Interfaith House,41.89058,-87.713468,1,117000,Federally Qualified Health Centers,23
85,PCC Community Wellness Center-Loretto Hospital,41.872134,-87.763833,1,151000,Federally Qualified Health Centers,25
86,PCC Erie Health Center,41.891214,-87.775724,1,116000,Federally Qualified Health Centers,0
87,PCC Lake Street Family Health Center,41.888062,-87.775564,1,158000,Federally Qualified Health Centers,0
88,PCC North Avenue Family Health Center,41.90837,-87.84103,1,180000,Federally Qualified Health Centers,0
89,PCC Salud Family Health Center,41.923749,-87.760771,1,178000,Federally Qualified Health Centers,19
90,PCC South Family Health Center & Birthing Center,41.865122,-87.779182,1,126000,Federally Qualified Health Centers,0
91,PCC Walk-In Wellness Center,41.900729,-87.699359,1,147000,Federally Qualified Health Centers,24
92,PCC West Town Family Health Center,41.900787,-87.69934,1,154000,Federally Qualified Health Centers,24
93,PrimeCare Fullerton,41.924812,-87.725383,1,198000,Federally Qualified Health Centers,22
94,PrimeCare Northwest,41.911398,-87.726084,1,129000,Federally Qualified Health Centers,23
95,PrimeCare Portage Park,41.945725,-87.768527,1,134000,Federally Qualified Health Centers,15
96,PrimeCare West Town,41.907517,-87.686297,1,187000,Federally Qualified Health Centers,24
97,"TCA Health, Inc",41.658769,-87.596754,1,144000,Federally Qualified Health Centers,54
98,UIC - Mile Square - Back of the Yards,41.809594,-87.661589,1,191000,Federally Qualified Health Centers,61
99,UIC - Mile Square - Englewood,41.779454,-87.641458,1,174000,Federally Qualified Health Centers,68
100,UIC - Mile Square - South/New City Clinic,41.808883,-87.644496,1,122000,Federally Qualified Health Centers,61
101,UIC - Mile Square Health Center,41.866379,-87.67203,1,142000,Federally Qualified Health Centers,28
102,UIC - Mile Square Health Center - Humboldt Park,41.903091,-87.708436,1,188000,Federally Qualified Health Centers,23
103,UIC - Mile Square Health Center - South Shore,41.765753,-87.574527,1,104000,Federally Qualified Health Centers,43
104,UIC - Mile Square North Clinic,41.958314,-87.681633,1,132000,Federally Qualified Health Centers,5
105,Esperanza Health Centers,41.854808,-87.695184,1,162000,Federally Qualified Health Centers,30
106,Howard Brown - Aris Health,41.941275,-87.649123,1,188000,Federally Qualified Health Centers,6
107,Howard Brown - Broadway Youth Center,41.936283,-87.64491,1,192000,Federally Qualified Health Centers,6
108,Howard Brown Health Center,41.955158,-87.654183,1,119000,Federally Qualified Health Centers,3
109,Mercy Family Health Center,41.846657,-87.621323,1,193000,Federally Qualified Health Centers,33
110,Mercy Family Health Center - Lower West,41.8582,-87.665844,1,112000,Federally Qualified Health Centers,31
111,Mercy Family Health Center @ Oakland Shores,41.826787,-87.608326,1,136000,Federally Qualified Health Centers,36
112,CommunityHealth,41.895412,-87.692322,3,155000,All Free Health Clinics,24
113,CommunityHealth - Englewood,41.779454,-87.641458,3,131000,All Free Health Clinics,68
114,IMAN Health Clinic,41.779369,-87.692756,3,198000,All Free Health Clinics,66
115,Marillac Health and Wellness Center,41.877896,-87.698941,3,128000,All Free Health Clinics,27
116,NLVS Free Health Clinic,41.990164,-87.696322,3,172000,All Free Health Clinics,2
117,Norma Jean Sanders Free Medical Clinic,41.811402,-87.599323,3,109000,All Free Health Clinics,39
118,Pacific Garden Mission Clinic,41.862007,-87.639884,3,143000,All Free Health Clinics,28
119,Pilsen Homeless Health Services,41.879887,-87.665505,3,196000,All Free Health Clinics,28
120,Port Free Clinic,41.802782,-87.66473,3,138000,All Free Health Clinics,61
121,Saint Basil's Free People's Clinic,41.794284,-87.671034,3,119000,All Free Health Clinics,61
122,The ARK,41.999151,-87.700026,3,123000,All Free Health Clinics,2
123,Washington Park's Free Health Clinic,41.796908,-87.619301,3,160000,All Free Health Clinics,40
124,Advocate Christ Hospital & Medical Center,41.721119,-87.732553,2,162000,Hospitals,0
125,Advocate Illinois Masonic Medical Center,41.936793,-87.651935,2,147000,Hospitals,6
126,Advocate Lutheran General Hospital,42.038478,-87.847611,2,160000,Hospitals,0
127,Advocate Trinity Hospital,41.726676,-87.567184,2,112000,Hospitals,48
128,Ann and Robert H. Lurie Children's Hospital of Chicago,41.896389,-87.621686,2,112000,Hospitals,8
129,Chicago Lakeshore Hospital,41.970315,-87.650581,2,192000,Hospitals,3
130,Chicago Read Mental Health Center,41.95766,-87.796689,2,183000,Hospitals,17
131,Evanston Hospital,42.064303,-87.690024,2,191000,Hospitals,0
132,Hartgrove Hospital,41.890525,-87.720162,2,146000,Hospitals,23
133,Holy Cross Hospital,41.769456,-87.692394,2,198000,Hospitals,66
134,Ingalls Memorial Hospital,41.60758,-87.659773,2,123000,Hospitals,0
135,Jackson Park Hospital & Medical Center,41.757306,-87.585265,2,195000,Hospitals,43
136,Jesse Brown Department of Veterans Affairs Medical Center,41.870244,-87.677579,2,102000,Hospitals,28
137,"John H. Stroger, Jr. Hospital of Cook County",41.873588,-87.674275,2,179000,Hospitals,28
138,Kindred Hospital - Chicago Central,41.940239,-87.72831,2,187000,Hospitals,16
139,Kindred Hospital - Chicago Lakeshore,41.993285,-87.655691,2,183000,Hospitals,77
140,Kindred Hospital - Chicago North,41.961466,-87.693321,2,176000,Hospitals,4
141,La Rabida Children's Hospital,41.7776,-87.5711,2,126000,Hospitals,42
142,Little Company of Mary Hospital,41.720942,-87.692198,2,119000,Hospitals,0
143,Loretto Hospital,41.872134,-87.763833,2,125000,Hospitals,25
144,Loyola University Medical Center,41.859859,-87.835105,2,100000,Hospitals,0
145,MacNeal Hospital,41.832507,-87.792205,2,143000,Hospitals,0
146,Mercy Hospital and Medical Center,41.846657,-87.621323,2,131000,Hospitals,33
147,Methodist Hospital of Chicago,41.973205,-87.670811,2,132000,Hospitals,3
148,Mount Sinai Hospital & Medical Center,41.860111,-87.695707,2,192000,Hospitals,29
