,ein,ID.org,name,city,DOS ID,Current Entity Name,date,processed_name,match_rate,good_match
1,,4,FEDERATION OF ITALIAN ORGANIZATIONS OF QUEENS,,1795.0,"FEDERATION OF ITALIAN AMERICAN ORGANIZATIONS OF QUEENS, INC.",6/23/92,FEDERATION OF ITALIAN ORGANIZATIONS OF QUEENS,0.9090909090000001,1.0
4707,113071518.0,RR4729,LITTLE NECK SENIOR CENTER,LITTLE NECK,2868.0,"LITTLE NECK SENIOR CENTER, INC.",6/22/06,LITTLE NECK SENIOR CENTER,1.0,1.0
4712,133993092.0,RR4740,WEST SIDE COMMUNITY GARDEN,,6016.0,"WESTSIDE COMMUNITY GARDEN, INC.",6/3/82,WEST SIDE COMMUNITY GARDEN,0.980392157,1.0
4713,131623829.0,RR4741,AMERICAN SOCIETY FOR PREVENT OF CRUELTY TO ANIMALS,NEW YORK,4736.0,THE AMERICAN SOCIETY FOR THE PREVENTION OF CRUELTY TO ANIMALS,01/01/1866,AMERICAN SOCIETY FOR PREVENT OF CRUELTY TO ANIMALS,0.970873786,1.0
4723,571147217.0,RR4775,REAL WORLD FOUNDATION,,3955.0,"REAL WORLD FOUNDATION, INC.",7/2/03,REAL WORLD FOUNDATION,1.0,1.0
4725,201820738.0,RR4783,REFUAH HELPLINE,,3975.0,"REFUAH HELPLINE, INC.",11/2/04,REFUAH HELPLINE,1.0,1.0
4727,133647872.0,RR4785,ASSOCIATION OF MERCHANTS AND BUSINESS PROFESSIONALS OF WESTCHESTER SQUARE,,391.0,"ASSOCIATION OF THE MERCHANTS AND BUSINESS PROFESSIONALS OF WESTCHESTER SQUARE, INC.",3/27/89,ASSOCIATION OF MERCHANTS AND BUSINESS PROFESSIONALS OF WESTCHESTER SQUARE,1.0,1.0
4729,237339651.0,RR4788,CONGREGATION CHASIDEI BELZ WILLIAMSBURGH BNOS JERUSALEM,BROOKLYN,6118.0,YESHIVA CHASIDEI BELZ OF JERUSALEM,3/22/95,CONGREGATION CHASIDEI BELZ WILLIAMSBURGH BNOS JERUSALEM,0.629213483,1.0
4732,111797187.0,RR4801,MOST PRECIOUS BLOODCYO,,1082.0,CHURCH OF THE MOST PRECIOUS BLOOD,04/20/1891,MOST PRECIOUS BLOODCYO,0.745098039,1.0
4733,113090609.0,RR4803,PARK SLOPE VOLUNTEER AMBULANCE CORPS,BROOKLYN,3657.0,"PARK SLOPE VOLUNTEER AMBULANCE CORPS, INC.",1/10/92,PARK SLOPE VOLUNTEER AMBULANCE CORPS,1.0,1.0
