,,access,bridge,distance,from,highway,lanes,name,oneway,service,to,tunnel
1183597508,261192511,,,117.293292,1183597508,residential,,South University Avenue,yes,,261192511,
261192511,1569129786,,,103.731218,261192511,residential,,South University Avenue,yes,,1569129786,
1569129786,261192510,,,99.17466,1569129786,residential,,South University Avenue,yes,,261192510,
261192510,3259301888,,,187.120752,261192510,residential,,South University Avenue,yes,,3259301888,
261198118,261198119,,,18.095852,261198118,secondary,,East 55th Street,,,261198119,
261198119,5622914302,,,65.003593,261198119,secondary,,East 55th Street,,,5622914302,
5622914302,261198121,,,11.542905,5622914302,secondary,,East 55th Street,,,261198121,
386571720,386571722,,,52.339114,386571720,tertiary,,Payne Drive,,,386571722,
386571722,261198118,,,296.562118,386571722,tertiary,,Payne Drive,,,261198118,
261207127,261202624,,,36.705223,261207127,secondary_link,,,yes,,261202624,
261185250,261202616,,,284.957025,261185250,secondary,,Rainey Drive,,,261202616,
261158033,1575868636,,,7.860992,261158033,residential,,East 55th Street,,,1575868636,
1575868636,2269161719,,,39.816718,1575868636,residential,,East 55th Street,,,2269161719,
2269161719,261148585,,,43.446688,2269161719,residential,,East 55th Street,,,261148585,
261148585,2269161723,,,62.664635,261148585,residential,,East 55th Street,,,2269161723,
2269161723,261176815,,,63.754577,2269161723,residential,,East 55th Street,,,261176815,
261219407,261217405,,,202.09234,261219407,residential,,South Langley Avenue,yes,,261217405,
5545781680,1889253094,,,67.523575,5545781680,secondary,,East 55th Street,,,1889253094,
1889253094,261227633,,,63.136437,1889253094,secondary,,East 55th Street,,,261227633,
261227633,261137168,,,134.590911,261227633,secondary,,East 55th Street,,,261137168,
261137168,386824708,,,37.319594,261137168,secondary,,East 55th Street,,,386824708,
386824708,386824403,,,82.268889,386824708,secondary,,East 55th Street,,,386824403,
386824403,261140614,,,8.284894,386824403,secondary,,East 55th Street,,,261140614,
261276584,386574787,,,57.048939,261276584,residential,,East 56th Street,yes,,386574787,
386574787,261192049,,,45.171754,386574787,residential,,East 56th Street,yes,,261192049,
261192049,386574790,,,44.398854,261192049,residential,,East 56th Street,yes,,386574790,
386574790,261158000,,,54.870085,386574790,residential,,East 56th Street,yes,,261158000,
261158000,261148587,,,54.518795,261158000,residential,,East 56th Street,yes,,261148587,
261148587,261176760,,,147.383875,261148587,residential,,East 56th Street,yes,,261176760,
261176760,1569129891,,,64.338147,261176760,residential,,East 56th Street,yes,,1569129891,
1569129891,1570583241,,,1.410125,1569129891,residential,,East 56th Street,yes,,1570583241,
1570583241,3051164544,,,55.797739,1570583241,residential,,East 56th Street,yes,,3051164544,
3051164544,3631594929,,,10.699446,3051164544,residential,,East 56th Street,yes,,3631594929,
3631594929,1569129769,,,50.394678,3631594929,residential,,East 56th Street,yes,,1569129769,
1569129769,261192510,,,85.669891,1569129769,residential,,East 56th Street,yes,,261192510,
261192510,1685296309,,,65.874457,261192510,residential,,East 56th Street,yes,,1685296309,
1685296309,261277228,,,67.225677,1685296309,residential,,East 56th Street,yes,,261277228,
261277228,1685262439,,,66.955902,261277228,residential,,East 56th Street,yes,,1685262439,
1685262439,261137169,,,67.976105,1685262439,residential,,East 56th Street,yes,,261137169,
261137169,1673177603,,,67.557469,261137169,residential,,East 56th Street,yes,,1673177603,
1673177603,1634777945,,,57.141533,1673177603,residential,,East 56th Street,yes,,1634777945,
1634777945,261140615,,,8.409502,1634777945,residential,,East 56th Street,yes,,261140615,
261140615,1685262418,,,67.296756,261140615,residential,,East 56th Street,yes,,1685262418,
1685262418,261160241,,,68.06792,1685262418,residential,,East 56th Street,yes,,261160241,
261217404,2174728717,,,46.768256,261217404,residential,,South Champlain Avenue,yes,,2174728717,
2174728717,2174728728,,,66.06978,2174728717,residential,,South Champlain Avenue,yes,,2174728728,
2174728728,2174728639,,,35.83275,2174728728,residential,,South Champlain Avenue,yes,,2174728639,
2174728639,261266034,,,53.432028,2174728639,residential,,South Champlain Avenue,yes,,261266034,
261158030,2269161699,,,45.068223,261158030,residential,,East 54th Street,yes,,2269161699,
2269161699,261148583,,,44.346745,2269161699,residential,,East 54th Street,yes,,261148583,
261276582,261192054,,,100.981878,261276582,residential,,East 54th Street,,,261192054,
261192054,2269161680,,,18.220517,261192054,residential,,East 54th Street,,,2269161680,
2269161680,2269161732,,,15.566685,2269161680,residential,,East 54th Street,,,2269161732,
2269161732,1889253072,,,12.191361,2269161732,residential,,East 54th Street,,,1889253072,
1889253072,261158031,,,55.408305,1889253072,residential,,East 54th Street,,,261158031,
261160243,4047380997,,,9.596347,261160243,residential,,East 59th Street,yes,,4047380997,
4047380997,1587772085,,,192.30166,4047380997,residential,,East 59th Street,yes,,1587772085,
1587772085,261137172,,,66.370281,1587772085,residential,,East 59th Street,yes,,261137172,
261137172,4047380996,,,126.511063,261137172,residential,,East 59th Street,yes,,4047380996,
4047380996,261286254,,,8.62703,4047380996,residential,,East 59th Street,yes,,261286254,
261313716,261348866,,,135.455696,261313716,residential,,South Greenwood Avenue,yes,,261348866,
261348866,2269168255,,,7.619161,261348866,residential,,South Greenwood Avenue,yes,,2269168255,
2269168255,261181129,,,17.920768,2269168255,residential,,South Greenwood Avenue,yes,,261181129,
261181129,261217303,,,126.712685,261181129,residential,,South Greenwood Avenue,yes,,261217303,
261227636,261358990,,,52.228361,261227636,secondary_link,,,yes,,261358990,
367760093,1031426133,,,17.957086,367760093,footway,,,,,1031426133,
1031426133,1396156677,,,3.523446,1031426133,footway,,,,,1396156677,
1396156677,367760105,,,10.207152,1396156677,footway,,,,,367760105,
367760105,1317509544,,,30.221321,367760105,footway,,,,,1317509544,
1317509544,1317509545,,,37.659699,1317509544,footway,,,,,1317509545,
1317509545,367760170,,,3.136614,1317509545,footway,,,,,367760170,
367760170,1317509546,,,33.81472,367760170,footway,,,,,1317509546,
1317509546,367760093,,,17.969572,1317509546,footway,,,,,367760093,
261148587,1611257789,,,68.770729,261148587,service,,,,alley,1611257789,
1611257789,261148588,,,134.003844,1611257789,service,,,,alley,261148588,
386561286,386561259,,,51.182637,386561286,path,,,,,386561259,
386561259,386571534,,,135.771859,386561259,path,,,,,386571534,
386571534,386571535,,,31.388441,386571534,path,,,,,386571535,
386571535,386571642,,,84.595352,386571535,path,,,,,386571642,
386571642,386571545,,,77.078438,386571642,path,,,,,386571545,
386571545,2170472515,,,97.008727,386571545,path,,,,,2170472515,
2170472515,1317490993,,,237.598622,2170472515,path,,,,,1317490993,
1317490993,1317491043,,,88.921481,1317490993,path,,,,,1317491043,
386561315,386561322,,,121.07365,386561315,path,,,,,386561322,
386561322,386561340,,,103.78133,386561322,path,,,,,386561340,
386561340,386561350,,,118.657319,386561340,path,,,,,386561350,
386561350,386571491,,,24.818037,386561350,path,,,,,386571491,
386571491,386571506,,,14.268097,386571491,path,,,,,386571506,
386571506,386571493,,,12.924645,386571506,path,,,,,386571493,
386571493,5622914297,,,62.617118,386571493,path,,,,,5622914297,
5622914297,386571497,,,11.509617,5622914297,path,,,,,386571497,
386571497,5622914298,,,13.0134,386571497,path,,,,,5622914298,
2170472504,386571656,,,27.980535,2170472504,path,,,,,386571656,
386571656,386571514,,,16.943804,386571656,path,,,,,386571514,
386571514,1317425237,,,52.59413,386571514,path,,,,,1317425237,
1317425237,386571508,,,23.493113,1317425237,path,,,,,386571508,
386571508,386571506,,,72.977799,386571508,path,,,,,386571506,
386571506,261198119,,,17.514488,386571506,path,,,,,261198119,
261198119,386571472,,,21.433272,261198119,path,,,,,386571472,
386571472,386571474,,,57.247669,386571472,path,,,,,386571474,
386571474,386571476,,,83.521191,386571474,path,,,,,386571476,
386571476,386571478,,,86.616427,386571476,path,,,,,386571478,
386571478,386571479,,,67.085098,386571478,path,,,,,386571479,
386571479,386571719,,,48.353739,386571479,path,,,,,386571719,
386571474,386571501,,,65.618528,386571474,path,,,,,386571501,
386571472,5622914299,,,57.016465,386571472,path,,,,,5622914299,
5622914299,386571505,,,11.235181,5622914299,path,,,,,386571505,
386571505,5622914300,,,15.216423,386571505,path,,,,,5622914300,
386571514,386571515,,,45.683516,386571514,path,,,,,386571515,
386571516,386571519,,,55.665367,386571516,path,,,,,386571519,
386571519,386571517,,,35.355758,386571519,path,,,,,386571517,
386571518,386571650,,,45.423216,386571518,path,,,,,386571650,
386571650,386571519,,,46.202805,386571650,path,,,,,386571519,
386571519,386571693,,,45.498009,386571519,path,,,,,386571693,
386571693,386571520,,,10.789814,386571693,path,,,,,386571520,
386571521,386571522,,,36.418847,386571521,path,,,,,386571522,
386571523,1317425271,,,36.389084,386571523,path,,,,,1317425271,
1317425271,386571524,,,10.655934,1317425271,path,,,,,386571524,
386561259,261185255,,,39.477372,386561259,path,,,,,261185255,
261185255,386571525,,,68.681794,261185255,path,,,,,386571525,
386571527,386571522,,,7.481596,386571527,path,,,,,386571522,
386571522,386571515,,,13.136033,386571522,path,,,,,386571515,
386571515,386571523,,,13.418364,386571515,path,,,,,386571523,
386571523,386571516,,,13.383222,386571523,path,,,,,386571516,
386571516,386571527,,,7.482953,386571516,path,,,,,386571527,
386571545,386571636,,,98.06938,386571545,path,,,,,386571636,
386571636,386571535,,,75.783677,386571636,path,,,,,386571535,
386571535,386571703,,,20.615055,386571535,path,,,,,386571703,
386571636,386571642,,,39.43491,386571636,path,,,,,386571642,
386571653,386571652,,,46.439911,386571653,path,,,,,386571652,
386571652,386571654,,,28.122587,386571652,path,,,,,386571654,
386571654,386571656,,,9.625701,386571654,path,,,,,386571656,
4047380785,4047380784,,,9.042691,4047380785,footway,,,,,4047380784,
4047380784,4047380783,,,9.886996,4047380784,footway,,,,,4047380783,
4047380783,4047380781,,,191.633995,4047380783,footway,,,,,4047380781,
4047380781,4047380780,,,193.048207,4047380781,footway,,,,,4047380780,
4047380780,4047380779,,,8.891098,4047380780,footway,,,,,4047380779,
4047380779,4047380778,,,8.708973,4047380779,footway,,,,,4047380778,
4047380778,4047380776,,,149.296577,4047380778,footway,,,,,4047380776,
4047380776,4047380774,,,110.192005,4047380776,footway,,,,,4047380774,
4047380774,2406147354,,,124.844906,4047380774,footway,,,,,2406147354,
2406147354,5082937231,,,9.44659,2406147354,footway,,,,,5082937231,
5082937231,4047380773,,,9.579166,5082937231,footway,,,,,4047380773,
4047380773,5397149022,,,119.464524,4047380773,footway,,,,,5397149022,
5397149022,4047380772,,,61.586033,5397149022,footway,,,,,4047380772,
4047380772,4047380770,,,61.902527,4047380772,footway,,,,,4047380770,
4047380770,5394546370,,,136.919928,4047380770,footway,,,,,5394546370,
5394546370,386571673,,,12.605858,5394546370,footway,,,,,386571673,
386571673,5082937230,,,11.819129,386571673,footway,,,,,5082937230,
5082937230,3235485043,,,27.54219,5082937230,footway,,,,,3235485043,
3235485043,386571668,,,237.931408,3235485043,footway,,,,,386571668,
386571668,261202777,,,226.757806,386571668,footway,,,,,261202777,
261202777,386571701,,,16.011005,261202777,footway,,,,,386571701,
386571701,386571704,,,45.83174,386571701,footway,,,,,386571704,
386571704,386571692,,,44.862593,386571704,footway,,,,,386571692,
386571692,386571693,,,35.478257,386571692,footway,,,,,386571693,
386571693,1317425271,,,65.218877,386571693,footway,,,,,1317425271,
1317425271,1317425237,,,99.66287,1317425271,footway,,,,,1317425237,
386571695,3079082697,,,46.529902,386571695,path,,,,,3079082697,
3079082697,386571648,,,5.041341,3079082697,path,,,,,386571648,
386571648,386574480,,,31.404796,386571648,path,,,,,386574480,
386574480,386571701,,,57.827101,386574480,path,,,,,386571701,
386571701,386571702,,,14.084081,386571701,path,,,,,386571702,
386571702,386571534,,,20.572724,386571702,path,,,,,386571534,
386571704,386574491,,,41.977201,386571704,path,,,,,386574491,
386571493,261198119,,,14.951687,386571493,path,,,,,261198119,
386571476,386571714,,,57.226741,386571476,path,,,,,386571714,
386571715,386571478,,,74.469292,386571715,path,,,,,386571478,
386571719,386571720,,,19.527411,386571719,path,,,,,386571720,
386571720,386571721,,,11.696165,386571720,path,,,,,386571721,
386571479,386571722,,,20.405426,386571479,path,,,,,386571722,
386574480,386574482,,,8.675711,386574480,path,,,,,386574482,
386574484,386574482,,,31.283837,386574484,path,,,,,386574482,
386574482,386574491,,,31.11959,386574482,path,,,,,386574491,
386574790,5495274512,,,151.171976,386574790,service,,,,alley,5495274512,
5495274512,386574792,,,51.725475,5495274512,service,,,,alley,386574792,
261140613,261170719,,,68.392906,261140613,residential,,East 54th Street,no,,261170719,
261170719,1738803394,,,51.345604,261170719,residential,,East 54th Street,no,,1738803394,
1738803394,261160193,,,20.120144,1738803394,residential,,East 54th Street,no,,261160193,
261140613,386824374,,,104.917853,261140613,residential,,South Kenwood Avenue,-1,,386824374,
386824374,2406355831,,,161.981088,386824374,residential,,South Kenwood Avenue,-1,,2406355831,
2406355831,261140614,,,54.876198,2406355831,residential,,South Kenwood Avenue,-1,,261140614,
261140614,1657306988,,,36.124018,261140614,residential,,South Kenwood Avenue,-1,,1657306988,
1657306988,1685296295,,,38.631443,1657306988,residential,,South Kenwood Avenue,-1,,1685296295,
1685296295,261140615,,,126.481516,1685296295,residential,,South Kenwood Avenue,-1,,261140615,
261176813,261176814,,,160.381412,261176813,residential,,South Ellis Avenue,,,261176814,
261176814,1562399234,,,8.742576,261176814,residential,,South Ellis Avenue,,,1562399234,
1562399234,5114688937,,,48.623649,1562399234,residential,,South Ellis Avenue,,,5114688937,
5114688937,261176815,,,68.880666,5114688937,residential,,South Ellis Avenue,,,261176815,
261176815,3259360444,,,40.199848,261176815,residential,,South Ellis Avenue,,,3259360444,
386824340,5425489952,,,35.101441,386824340,path,,,,,5425489952,
5425489952,386824367,,,96.294999,5425489952,path,,,,,386824367,
386824367,386824360,,,34.931035,386824367,path,,,,,386824360,
386824360,386824365,,,51.922062,386824360,path,,,,,386824365,
386824365,386824378,,,70.37442,386824365,path,,,,,386824378,
386824378,386824384,,,12.00934,386824378,path,,,,,386824384,
386824360,386824366,,,34.752664,386824360,path,,,,,386824366,
386824367,386824373,,,77.067333,386824367,path,,,,,386824373,
386824374,386824402,,,8.777007,386824374,path,,,,,386824402,
386824402,386824373,,,12.764716,386824402,path,,,,,386824373,
386824373,386824365,,,55.524696,386824373,path,,,,,386824365,
2406355879,2406355900,,,10.132742,2406355879,footway,,,,,2406355900,
2406355900,386824402,,,103.049236,2406355900,footway,,,,,386824402,
386824402,386824403,,,216.276475,386824402,footway,,,,,386824403,
386824708,386824709,,,18.842868,386824708,path,,,,,386824709,
261198118,386571491,,,16.76249,261198118,secondary,,Payne Drive,,,386571491,
386571491,261202616,,,84.420501,386571491,secondary,,Payne Drive,,,261202616,
261202616,386571524,,,115.49319,261202616,tertiary,,Payne Drive,,,386571524,
386571524,386571520,,,65.349331,386571524,tertiary,,Payne Drive,,,386571520,
386571520,386571525,,,35.540919,386571520,tertiary,,Payne Drive,,,386571525,
386571525,261185256,,,69.200051,386571525,tertiary,,Payne Drive,,,261185256,
261185256,386571702,,,25.609048,261185256,secondary,,Payne Drive,,,386571702,
386571702,386571657,,,15.302736,386571702,secondary,,Payne Drive,,,386571657,
386571657,386571703,,,8.916361,386571657,secondary,,Payne Drive,,,386571703,
386571703,261202623,,,440.992374,386571703,secondary,,Payne Drive,,,261202623,
261176763,261176765,,,79.325198,261176763,residential,,South Ellis Avenue,,,261176765,
261176765,3235485014,,,12.604074,261176765,residential,,South Ellis Avenue,,,3235485014,
3235485014,261176766,,,47.991212,3235485014,residential,,South Ellis Avenue,,,261176766,
4047380771,261160245,,,8.513834,4047380771,secondary,,East Midway Plaisance,yes,,261160245,
261160245,4047380769,,,9.04897,261160245,secondary,,East Midway Plaisance,yes,,4047380769,
4047380769,1587772173,,,192.359736,4047380769,secondary,,East Midway Plaisance,yes,,1587772173,
1587772173,4047380768,,,193.139464,1587772173,secondary,,East Midway Plaisance,yes,,4047380768,
4047380768,261207129,,,8.924592,4047380768,secondary,,East Midway Plaisance,yes,,261207129,
261207129,4047380767,,,8.75029,261207129,secondary,,East Midway Plaisance,yes,,4047380767,
4047380767,1587752337,,,149.137518,4047380767,secondary,,East Midway Plaisance,yes,,1587752337,
1587752337,1587752219,,,110.436993,1587752337,secondary,,East Midway Plaisance,yes,,1587752219,
1587752219,2406147350,,,125.208753,1587752219,secondary,,East Midway Plaisance,yes,,2406147350,
2406147350,261176763,,,8.982646,2406147350,secondary,,East Midway Plaisance,yes,,261176763,
261176763,4047380765,,,9.679213,261176763,secondary,,East Midway Plaisance,yes,,4047380765,
4047380765,1587883269,,,117.659811,4047380765,secondary,,East Midway Plaisance,yes,,1587883269,
1587883269,1587883283,,,63.292061,1587883269,secondary,,East Midway Plaisance,yes,,1587883283,
1587883283,1587883240,,,61.732768,1587883283,secondary,,East Midway Plaisance,yes,,1587883240,
1587883240,5394546308,,,137.008682,1587883240,secondary,,East Midway Plaisance,yes,,5394546308,
5394546308,261207128,,,12.771944,5394546308,secondary,,East Midway Plaisance,yes,,261207128,
5394552716,261266034,,,485.564636,5394552716,tertiary,,East 60th Street,,,261266034,
261266034,261219407,,,98.343435,261266034,tertiary,,East 60th Street,,,261219407,
261219407,1977810846,,,146.543633,261219407,tertiary,,East 60th Street,,,1977810846,
1977810846,5394546305,,,46.638681,1977810846,tertiary,,East 60th Street,,,5394546305,
5394546305,5827236816,,,13.155531,5394546305,tertiary,,East 60th Street,,,5827236816,
261221651,261207133,,,59.086569,261221651,tertiary,,East Best Drive,yes,,261207133,
261176766,4047380731,,,8.999579,261176766,residential,2,East 60th Street,,,4047380731,
4047380731,1587883237,,,124.099679,4047380731,residential,2,East 60th Street,,,1587883237,
1587883237,3235484971,,,112.16909,1587883237,residential,2,East 60th Street,,,3235484971,
3235484971,261192484,,,22.975493,3235484971,residential,2,East 60th Street,,,261192484,
261192484,4047380732,,,125.404284,261192484,residential,2,East 60th Street,,,4047380732,
4047380732,261266042,,,9.148359,4047380732,residential,2,East 60th Street,,,261266042,
261266042,4047380735,,,8.785206,261266042,residential,2,East 60th Street,,,4047380735,
4047380735,261137187,,,126.113727,4047380735,residential,2,East 60th Street,,,261137187,
261137187,1587772151,,,66.455859,261137187,residential,2,East 60th Street,,,1587772151,
1587772151,1581591866,,,67.488583,1587772151,residential,2,East 60th Street,,,1581591866,
1581591866,3378979836,,,124.833229,1581591866,residential,2,East 60th Street,,,3378979836,
3378979836,261160247,,,10.127678,3378979836,residential,2,East 60th Street,,,261160247,
762246035,5394546364,,,125.899014,762246035,residential,,South Kimbark Avenue,,,5394546364,
5394546364,261137187,,,8.876847,5394546364,residential,,South Kimbark Avenue,,,261137187,
1032484731,1032493651,,,13.114732,1032484731,footway,,,,,1032493651,
1032493651,1032484713,,,35.961472,1032493651,footway,,,,,1032484713,
1032484713,1032493642,,,37.560079,1032484713,footway,,,,,1032493642,
1032493642,1032484714,,,4.910118,1032493642,footway,,,,,1032484714,
1032484714,1032493870,,,7.108054,1032484714,footway,,,,,1032493870,
1032493870,1032493771,,,40.147457,1032493870,footway,,,,,1032493771,
1032493771,1032484715,,,4.805153,1032493771,footway,,,,,1032484715,
1032484715,1032484716,,,10.679141,1032484715,footway,,,,,1032484716,
1032484716,1032484717,,,28.552203,1032484716,footway,,,,,1032484717,
1032484717,1032484718,,,30.020801,1032484717,footway,,,,,1032484718,
1032484717,1032484719,,,36.154774,1032484717,footway,,,,,1032484719,
1032484719,1032484715,,,13.17822,1032484719,footway,,,,,1032484715,
1032484721,2889862026,,,14.226621,1032484721,footway,,,,,2889862026,
376238242,1032484726,,,53.283652,376238242,footway,,,,,1032484726,
1032484727,1032484729,,,50.152926,1032484727,footway,,,,,1032484729,
1032493722,2394532753,,,29.228044,1032493722,footway,,,,,2394532753,
2394532753,1396156674,,,32.866082,2394532753,footway,,,,,1396156674,
1396156674,1032493877,,,50.571301,1396156674,footway,,,,,1032493877,
1032484721,1032484736,,,37.077951,1032484721,footway,,,,,1032484736,
1032484736,1032493600,,,17.15732,1032484736,footway,,,,,1032493600,
1032493600,1032493598,,,36.448141,1032493600,footway,,,,,1032493598,
1032484736,1611265415,,,3.304461,1032484736,steps,,,,,1611265415,
2889833330,1032484744,,,44.040705,2889833330,footway,,,,,1032484744,
1032484744,1032484739,,,50.710602,1032484744,footway,,,,,1032484739,
1032484739,1032484740,,,44.203764,1032484739,footway,,,,,1032484740,
1032484740,2889833330,,,50.892624,1032484740,footway,,,,,2889833330,
1032484765,1032484738,,,40.991171,1032484765,footway,,,,,1032484738,
1032493591,1032493594,,,23.072528,1032493591,footway,,,,,1032493594,
1032493594,1183597508,,,42.677669,1032493594,footway,,,,,1183597508,
1032493598,2170439632,,,2.647652,1032493598,footway,,,,,2170439632,
2170439632,2170439566,,,37.82319,2170439632,footway,,,,,2170439566,
2170439566,1032493599,,,6.329839,2170439566,footway,,,,,1032493599,
1032493599,2170439707,,,5.664628,1032493599,footway,,,,,2170439707,
2170439707,2170439583,,,7.789812,2170439707,footway,,,,,2170439583,
2170439583,1032493594,,,12.274712,2170439583,footway,,,,,1032493594,
1032493600,2170439603,,,2.569661,1032493600,footway,,,,,2170439603,
2170439603,2170439647,,,37.810134,2170439603,footway,,,,,2170439647,
2170439647,1032493601,,,6.463012,2170439647,footway,,,,,1032493601,
1032493603,1032493604,,,4.212927,1032493603,footway,,,,,1032493604,
1032493604,1032493613,,,61.148465,1032493604,footway,,,,,1032493613,
1032493613,2170439707,,,31.454132,1032493613,footway,,,,,2170439707,
1032493642,1183597505,,,44.911955,1032493642,footway,,,,,1183597505,
1032493651,1183597459,,,44.805324,1032493651,footway,,,,,1183597459,
1032493687,1032493693,,,41.241008,1032493687,footway,,,,,1032493693,
1032493693,1032493714,,,11.759234,1032493693,footway,,,,,1032493714,
1032493714,1639981252,,,65.233015,1032493714,footway,,,,,1639981252,
1639981252,1396156674,,,25.995876,1639981252,footway,,,,,1396156674,
1396156674,1639981280,,,25.786231,1396156674,footway,,,,,1639981280,
1639981280,1639981378,,,22.675998,1639981280,footway,,,,,1639981378,
1032493716,1032493693,,,68.171989,1032493716,footway,,,,,1032493693,
1032493722,1639981411,,,26.09141,1032493722,footway,,,,,1639981411,
1639981411,1032493725,,,23.505934,1639981411,footway,,,,,1032493725,
1639981378,1032493753,,,1.045465,1639981378,footway,,,,,1032493753,
1032493725,1032493753,,,61.936276,1032493725,footway,,,,,1032493753,
1032493753,1032493732,,,10.456008,1032493753,footway,,,,,1032493732,
1587752097,1183597482,,,12.53837,1587752097,footway,,,,,1183597482,
1183597482,5396349324,,,8.732836,1183597482,footway,,,,,5396349324,
5396349324,1032493781,,,19.779243,5396349324,footway,,,,,1032493781,
1032493781,1032493784,,,11.34606,1032493781,footway,,,,,1032493784,
1032493784,1032493793,,,31.128583,1032493784,footway,,,,,1032493793,
1032493793,1639981258,,,55.737445,1032493793,footway,,,,,1639981258,
1639981258,1032493722,,,25.519773,1639981258,footway,,,,,1032493722,
1032493851,1032484716,,,66.530515,1032493851,footway,,,,,1032484716,
1032484716,1032493853,,,56.791124,1032484716,footway,,,,,1032493853,
1032493853,1032484718,,,24.017068,1032493853,footway,,,,,1032484718,
1032493851,1032493725,,,3.561133,1032493851,footway,,,,,1032493725,
1032493725,1032493853,,,28.926041,1032493725,footway,,,,,1032493853,
1032493870,1032493871,,,48.144406,1032493870,footway,,,,,1032493871,
