,All Free Health Clinics,School-Based Health Centers,Other Health Providers,Federally Qualified Health Centers,Hospitals
17031010100,0.0,0.0,0.0,4.0,1.0
17031010201,0.0,0.0,0.0,4.0,1.0
17031010202,0.0,1.0,1.0,4.0,1.0
17031010300,0.0,1.0,0.0,5.0,0.0
17031010400,0.0,1.0,1.0,3.0,1.0
17031010501,0.0,1.0,1.0,5.0,0.0
17031010502,0.0,2.0,1.0,4.0,1.0
17031010503,0.0,2.0,1.0,2.0,1.0
17031010600,0.0,2.0,1.0,5.0,1.0
17031010701,0.0,1.0,1.0,5.0,1.0
17031010702,0.0,1.0,1.0,5.0,0.0
17031020100,0.0,0.0,0.0,4.0,1.0
17031020200,1.0,0.0,0.0,2.0,1.0
17031020301,1.0,0.0,0.0,1.0,0.0
17031020302,2.0,0.0,0.0,3.0,0.0
17031020400,1.0,1.0,1.0,5.0,1.0
17031020500,2.0,1.0,1.0,3.0,0.0
17031020601,2.0,0.0,0.0,2.0,0.0
17031020602,2.0,0.0,1.0,2.0,0.0
17031020701,2.0,0.0,0.0,3.0,1.0
17031020702,2.0,0.0,0.0,1.0,0.0
17031020801,2.0,1.0,0.0,4.0,1.0
17031020802,2.0,0.0,0.0,3.0,0.0
17031020901,2.0,2.0,1.0,2.0,0.0
17031020902,2.0,2.0,1.0,2.0,1.0
17031030101,0.0,2.0,1.0,1.0,1.0
17031030102,0.0,2.0,1.0,1.0,1.0
17031030103,0.0,2.0,1.0,2.0,1.0
17031030104,0.0,2.0,1.0,2.0,1.0
17031030200,0.0,2.0,1.0,3.0,1.0
17031030300,0.0,2.0,1.0,3.0,1.0
17031030400,0.0,3.0,1.0,3.0,2.0
17031030500,0.0,2.0,1.0,3.0,2.0
17031030601,0.0,1.0,1.0,2.0,1.0
17031030603,0.0,1.0,1.0,3.0,3.0
17031030604,0.0,1.0,0.0,3.0,3.0
17031030701,0.0,2.0,1.0,5.0,4.0
17031030702,0.0,2.0,0.0,4.0,4.0
17031030703,0.0,3.0,0.0,4.0,4.0
17031030706,0.0,2.0,0.0,3.0,4.0
17031030800,0.0,2.0,1.0,5.0,3.0
17031030900,0.0,2.0,1.0,3.0,1.0
17031031000,0.0,4.0,0.0,6.0,2.0
17031031100,0.0,4.0,1.0,4.0,3.0
17031031200,0.0,2.0,1.0,5.0,4.0
17031031300,0.0,1.0,1.0,4.0,4.0
