ID,Facility,lat,lon,Type,target,category,community
1,"American Indian Health Service of Chicago, Inc.",      41.9566760000,     -87.6518790000,5,127000,Other Health Providers,3
2,Hamdard Center for Health and Human Services,      41.9978520000,     -87.6695350000,5,190000,Other Health Providers,77
3,Infant Welfare Society of Chicago,      41.9249040000,     -87.7172700000,5,137000,Other Health Providers,22
4,Mercy Family - Henry Booth House Family Health Center,      41.8416940000,     -87.6247900000,5,159000,Other Health Providers,35
6,Cook County - Dr. Jorge Prieto Health Center,      41.8471430000,     -87.7249750000,5,166000,Other Health Providers,30
8,Cook County - Fantus Health Center,      41.8735880000,     -87.6742750000,5,192000,Other Health Providers,28
9,Cook County - John Sengstacke Health Center,      41.8024890000,     -87.6135660000,5,112000,Other Health Providers,38
10,Cook County - Logan Square Health Center,      41.9250400000,     -87.6990980000,5,147000,Other Health Providers,22
11,Cook County - Near South Health Center,      41.8302010000,     -87.6228920000,5,186000,Other Health Providers,35
12,Cook County - Woodlawn Health Center,      41.7797150000,     -87.5959080000,5,165000,Other Health Providers,42
14,ACCESS Anixter Center,      41.9183700000,     -87.6602810000,1,101000,Federally Qualified Health Centers,7
15,ACCESS Ashland Family Health Center,      41.7998660000,     -87.6644230000,1,111000,Federally Qualified Health Centers,61
16,ACCESS Auburn-Gresham Family Health Center,      41.7438010000,     -87.6636600000,1,141000,Federally Qualified Health Centers,71
17,ACCESS Booker Family Health Center,      41.8096870000,     -87.6093150000,1,157000,Federally Qualified Health Centers,38
18,ACCESS Brandon Family Health Center,      41.7445580000,     -87.5470390000,1,168000,Federally Qualified Health Centers,46
19,ACCESS Cabrini Family Health Center,      41.8312740000,     -87.6765800000,1,200000,Federally Qualified Health Centers,59
20,ACCESS Centro Medico,      41.8445090000,     -87.7174090000,1,103000,Federally Qualified Health Centers,30
21,ACCESS Centro Medico San Rafael,      41.8445200000,     -87.7053050000,1,166000,Federally Qualified Health Centers,30
22,ACCESS Doctors Medical Center,      41.7926480000,     -87.7786300000,1,121000,Federally Qualified Health Centers,56
23,ACCESS Evanston-Rogers Park Family Health Center,      42.0191000000,     -87.6702410000,1,121000,Federally Qualified Health Centers,1
24,ACCESS Grand Boulevard Family Health Center,      41.7950370000,     -87.6289190000,1,120000,Federally Qualified Health Centers,37
25,ACCESS Holy Cross,      41.7694560000,     -87.6923940000,1,101000,Federally Qualified Health Centers,66
26,ACCESS Humboldt Park Family Health Center,      41.9103430000,     -87.7071680000,1,148000,Federally Qualified Health Centers,23
27,ACCESS Illinois Eye Institute,      41.8352650000,     -87.6222790000,1,199000,Federally Qualified Health Centers,35
28,ACCESS Kedzie Family Health Center,      41.8067970000,     -87.7047510000,1,128000,Federally Qualified Health Centers,58
29,ACCESS Madison Family Health Center,      41.8810040000,     -87.7211410000,1,102000,Federally Qualified Health Centers,26
30,ACCESS Pilsen Family Health Center,      41.8573270000,     -87.6609290000,1,120000,Federally Qualified Health Centers,31
31,ACCESS Plaza Family Health Center,      41.8510520000,     -87.6886550000,1,148000,Federally Qualified Health Centers,30
32,ACCESS Servicios Medicos La Villita,      41.8438410000,     -87.7078420000,1,143000,Federally Qualified Health Centers,30
33,ACCESS Sinai,      41.8620570000,     -87.6928230000,1,139000,Federally Qualified Health Centers,29
34,ACCESS Southwest Family Health Center,      41.8073400000,     -87.7447450000,1,139000,Federally Qualified Health Centers,56
35,ACCESS St. Francis Health Center,      42.0176970000,     -87.6760060000,1,157000,Federally Qualified Health Centers,1
36,ACCESS Warren Family Health Center,      41.8818290000,     -87.6868170000,1,150000,Federally Qualified Health Centers,28
37,ACCESS Westside Family Health Center,      41.8591170000,     -87.7197310000,1,136000,Federally Qualified Health Centers,29
39,Alivio Medical Center - Western,      41.8491060000,     -87.6851550000,1,137000,Federally Qualified Health Centers,31
40,Asian Human Services Family Health Center,      41.9907660000,     -87.6904630000,1,116000,Federally Qualified Health Centers,2
41,Aunt Martha's Roseland Community Health Center,      41.6855230000,     -87.6176550000,1,117000,Federally Qualified Health Centers,49
42,Aunt Martha's Southeast Side Community Health Center,      41.6819050000,     -87.5373770000,1,179000,Federally Qualified Health Centers,55
43,Beloved Community Family Wellness Center,      41.7699650000,     -87.6441680000,1,108000,Federally Qualified Health Centers,68
44,Chicago Family Health Center - Chicago Lawn,      41.7785540000,     -87.7039110000,1,105000,Federally Qualified Health Centers,66
45,Chicago Family Health Center - East Side,      41.7035030000,     -87.5355840000,1,180000,Federally Qualified Health Centers,52
46,Chicago Family Health Center - Roseland,      41.6927990000,     -87.6268060000,1,164000,Federally Qualified Health Centers,49
47,Chicago Family Health Center- Pullman,      41.6857010000,     -87.6087380000,1,111000,Federally Qualified Health Centers,50
48,Chicago Family Health Center- South Chicago,      41.7294490000,     -87.5521440000,1,133000,Federally Qualified Health Centers,46
49,Christian Community Health Center,      41.7168470000,     -87.6434080000,1,174000,Federally Qualified Health Centers,73
50,"Christian Community Health Center - Calumet City, IL",      41.6266650000,     -87.5595220000,1,160000,Federally Qualified Health Centers,0
51,"Christian Community Health Center - South Holland, IL",      41.6221310000,     -87.5951600000,1,175000,Federally Qualified Health Centers,0
52,Circle Family Health Care Network - Parkside,      41.8827990000,     -87.7661110000,1,108000,Federally Qualified Health Centers,25
53,Erie Family Health Center - Division St.,      41.9032510000,     -87.6877800000,1,162000,Federally Qualified Health Centers,24
54,Erie Family Health Center - Foster,      41.9762450000,     -87.6986410000,1,121000,Federally Qualified Health Centers,4
55,Erie Family Health Center - Teen Health Center,      41.9750210000,     -87.6988590000,1,155000,Federally Qualified Health Centers,4
56,Erie Family Health Center - West Town,      41.8948630000,     -87.6700960000,1,132000,Federally Qualified Health Centers,24
57,Erie Family Health Center -- Helping Hands,      41.9679490000,     -87.7083110000,1,171000,Federally Qualified Health Centers,14
58,Erie Family Health Center -- Humboldt Park,      41.9104720000,     -87.6964950000,1,129000,Federally Qualified Health Centers,24
59,Esperanza - Little Village,      41.8440790000,     -87.7019080000,1,137000,Federally Qualified Health Centers,30
60,Friend Family Health Center,      41.7956640000,     -87.6053730000,1,151000,Federally Qualified Health Centers,41
61,Friend Family Health Center - Ashland,      41.8065120000,     -87.6652930000,1,114000,Federally Qualified Health Centers,61
62,Friend Family Health Center-Pulaski,      41.7902040000,     -87.7227600000,1,143000,Federally Qualified Health Centers,62
63,Friend Family Health Center-Western,      41.7871300000,     -87.6833340000,1,103000,Federally Qualified Health Centers,63
64,Heartland Health Center - Devon,      41.9982560000,     -87.6631700000,1,128000,Federally Qualified Health Centers,1
65,Heartland Health Centers - Lincoln Square,      41.9683950000,     -87.6959840000,1,107000,Federally Qualified Health Centers,4
66,Heartland Health Centers - Rogers Park,      42.0124460000,     -87.6864200000,1,130000,Federally Qualified Health Centers,2
67,Heartland Health Centers - Trilogy,      42.0105810000,     -87.6665280000,1,145000,Federally Qualified Health Centers,1
68,Heartland Health Centers - Wilson,      41.9652980000,     -87.6520800000,1,151000,Federally Qualified Health Centers,3
69,Heartland Health Centers-C4 Clark Street,      41.9683170000,     -87.6677440000,1,174000,Federally Qualified Health Centers,3
