,Hospitals,All Free Health Clinics,Other Health Providers,Federally Qualified Health Centers,School-Based Health Centers
17031010100,1,0,0,4,1
17031010201,1,0,0,4,1
17031010202,1,0,1,4,1
17031010300,0,0,1,5,1
17031010400,1,0,1,3,1
17031010501,1,0,1,5,1
17031010502,1,0,1,4,2
17031010503,1,0,1,2,2
17031010600,1,0,1,5,2
17031010701,1,0,1,5,1
17031010702,0,0,1,5,1
17031020100,1,0,0,4,0
17031020200,1,1,0,2,0
17031020301,0,1,0,1,0
17031020302,0,2,0,3,0
17031020400,1,1,1,5,1
17031020500,0,2,1,3,1
17031020601,0,2,0,2,0
17031020602,0,2,1,2,0
17031020701,1,2,0,3,0
17031020702,0,2,0,1,0
17031020801,1,2,0,4,1
17031020802,0,2,0,3,0
17031020901,0,2,1,2,2
17031020902,1,2,1,2,2
17031030101,1,0,1,1,2
17031030102,1,0,1,1,2
17031030103,1,0,1,2,2
17031030104,1,0,1,2,2
17031030200,1,0,1,3,2
17031030300,1,1,1,3,2
17031030400,2,1,1,3,3
17031030500,2,0,1,4,2
17031030601,2,0,1,3,1
17031030603,3,0,1,3,1
17031030604,3,0,0,3,1
17031030701,4,0,1,5,2
17031030702,4,0,0,4,2
17031030703,4,0,0,4,3
17031030706,4,0,0,3,2
17031030800,3,0,1,5,2
17031030900,1,0,1,4,2
17031031000,2,0,0,6,4
17031031100,3,0,1,5,4
17031031200,4,0,1,5,2
17031031300,3,0,1,4,1
17031031400,3,0,1,4,1
17031031501,4,0,1,5,1
17031031502,4,0,1,5,2
17031031700,4,0,1,6,2
17031031800,4,0,1,6,3
17031031900,4,0,1,6,3
17031032100,3,0,1,6,2
17031040100,1,1,0,3,2
17031040201,3,1,0,6,2
17031040202,2,2,0,4,2
17031040300,2,1,0,4,3
17031040401,3,0,0,7,2
17031040402,3,0,0,7,1
17031040600,3,0,0,8,2
17031040700,2,0,0,6,3
17031040800,2,0,0,5,3
17031040900,3,0,0,6,2
17031050100,3,0,0,4,2
17031050200,1,0,0,2,2
17031050300,1,0,0,4,1
17031050500,1,0,0,1,1
17031050600,2,0,0,2,1
17031050700,0,0,0,2,1
17031050800,0,0,0,1,1
17031050900,1,0,0,1,0
17031051000,0,0,0,1,0
17031051100,0,0,0,1,0
17031051200,1,0,0,3,1
17031051300,1,0,0,1,0
17031051400,0,0,0,0,0
17031060100,3,0,1,6,2
17031060200,3,0,1,6,2
17031060300,1,0,1,3,1
17031060400,2,0,1,5,1
17031060500,2,0,1,8,2
17031060800,3,0,1,5,2
17031060900,3,0,1,5,1
17031061000,3,0,1,6,2
17031061100,2,0,1,7,2
17031061200,2,0,1,6,1
17031061500,2,0,1,4,1
17031061800,4,0,1,5,2
17031061901,3,0,1,4,0
17031061902,1,0,1,2,0
17031062000,3,0,1,4,0
17031062100,3,0,1,4,1
17031062200,3,0,1,4,1
17031062300,2,0,1,4,1
17031062400,1,0,0,4,1
17031062500,1,0,0,4,1
17031062600,1,0,0,4,1
17031062700,1,0,0,4,1
17031062800,2,0,0,4,0
17031062900,2,0,0,5,0
17031063000,3,0,0,4,0
17031063100,3,0,1,4,0
17031063200,2,0,0,3,0
17031063301,2,0,0,3,0
17031063302,2,0,0,3,0
17031063303,2,0,0,3,0
17031063400,3,0,0,3,0
17031070101,2,0,0,2,0
17031070102,2,0,0,3,0
17031070103,2,0,0,5,0
17031070200,2,0,0,5,0
17031070300,2,0,0,5,0
17031070400,2,0,0,4,0
17031070500,1,0,0,4,0
17031070600,1,0,0,2,0
17031070700,0,0,0,1,0
17031071000,1,0,0,4,0
17031071100,1,0,0,5,0
17031071200,2,0,0,5,0
17031071300,2,0,0,5,0
17031071400,1,0,0,1,0
17031071500,0,0,0,2,0
17031071600,0,0,0,3,0
17031071700,0,0,0,2,0
17031071800,0,0,0,2,0
17031080100,3,0,0,2,0
17031080201,3,0,0,2,0
17031080202,3,0,0,2,0
17031080300,1,0,0,2,0
17031080400,1,0,0,3,0
17031081000,3,0,0,2,0
17031081100,3,0,0,2,0
17031081201,3,0,0,2,0
17031081202,3,0,0,2,0
17031081300,3,0,0,1,0
17031081401,3,0,0,1,0
17031081402,3,0,0,1,0
17031081403,3,0,0,1,0
17031081500,3,0,0,1,0
17031081600,3,0,0,1,0
17031081700,3,0,0,1,0
17031081800,3,0,0,2,0
17031081900,3,0,0,2,0
17031090100,0,0,0,0,0
17031090200,0,0,0,0,0
17031090300,1,0,0,0,0
17031100100,0,0,0,0,0
17031100200,0,0,0,0,0
17031100300,1,0,0,0,0
17031100400,1,0,0,0,0
17031100500,1,0,0,0,0
17031100600,1,0,0,0,0
17031100700,1,0,0,0,0
17031110100,0,0,0,0,0
17031110200,0,0,0,0,0
17031110300,0,0,0,0,0
17031110400,0,0,0,0,0
17031110501,0,0,0,0,0
17031110502,0,0,0,0,0
17031120100,0,0,0,0,0
17031120200,0,0,0,0,0
17031120300,0,0,0,0,0
17031120400,0,0,0,0,0
17031130100,0,1,0,0,0
17031130200,0,0,0,0,0
17031130300,1,2,0,4,1
17031140100,2,0,0,4,2
17031140200,2,0,0,4,2
17031140301,0,0,0,2,2
17031140302,0,0,0,1,2
17031140400,0,0,0,0,0
17031140500,0,0,0,1,2
17031140601,0,0,0,1,2
17031140602,0,0,0,2,2
